         16789652 function calls (16783228 primitive calls) in 30.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31137    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
     3109    0.007    0.000    3.403    0.001 utils.py:819(get_environ_proxies)
     3109    0.007    0.000    1.531    0.000 request.py:2716(getproxies)
     3109    0.007    0.000    0.016    0.000 models.py:207(register_hook)
     3109    0.007    0.000    0.013    0.000 feedparser.py:69(close)
     3109    0.007    0.000    0.008    0.000 models.py:85(path_url)
     3109    0.007    0.000    0.021    0.000 parse.py:841(quote)
     6218    0.007    0.000    0.007    0.000 __init__.py:1734(isEnabledFor)
    27987    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
     6218    0.007    0.000    0.016    0.000 timeout.py:181(clone)
     3109    0.007    0.000    0.007    0.000 queue.py:12(_init)
    15545    0.007    0.000    0.008    0.000 _internal_utils.py:23(to_native_string)
     3109    0.007    0.000    0.009    0.000 _collections.py:54(__getitem__)
     3109    0.007    0.000    0.009    0.000 feedparser.py:195(_new_message)
     3109    0.007    0.000    0.016    0.000 timeout.py:165(from_float)
     6218    0.007    0.000    0.013    0.000 __init__.py:1467(debug)
     3109    0.006    0.000    1.800    0.001 client.py:1283(request)
     3109    0.006    0.000    0.013    0.000 cookiejar.py:1734(clear_expired_cookies)
     9327    0.006    0.000    0.010    0.000 <string>:1(<lambda>)
     9327    0.006    0.000    0.027    0.000 sessions.py:84(<listcomp>)
     6218    0.006    0.000    0.013    0.000 cookies.py:358(update)
     3109    0.006    0.000    0.057    0.000 url.py:323(_encode_target)
     3109    0.006    0.000    0.034    0.000 utils.py:654(requote_uri)
     3109    0.006    0.000    0.030    0.000 utils.py:767(get_proxy)
    18654    0.006    0.000    0.006    0.000 {method 'groups' of 're.Match' objects}
     3109    0.006    0.000    0.014    0.000 client.py:417(close)
     3109    0.006    0.000    0.007    0.000 parse.py:659(unquote)
     3109    0.006    0.000    0.414    0.000 feedparser.py:171(feed)
     3109    0.006    0.000    0.007    0.000 models.py:795(iter_content)
     3109    0.006    0.000    0.018    0.000 models.py:573(prepare_content_length)
     3109    0.006    0.000    0.012    0.000 response.py:374(_init_decoder)
     6218    0.006    0.000    0.048    0.000 response.py:430(_error_catcher)
